Accounts,Category Name,Total Views,Unique viewers,Comments,Total Likes,Business Account,Professional Account
cyber.club.tees,Personal Goods & General Merchandise Stores,261,314,0,201,yes,yes
cuemby,Personal Goods & General Merchandise Stores,389,346,5,883,yes,yes
csiworldin,Personal Goods & General Merchandise Stores,127,16,1,38,yes,yes
diceanalytics,Business & Utility Services,1207,636,2,2,yes,yes
diacostudios,Personal Goods & General Merchandise Stores,1979,44,7,1472,yes,yes
devspacemx,Non-Profits & Religious Organizations,299,32,4,72,yes,yes
dev_programando,Creators & Celebrities,730,55,3,403,yes,yes
devopsing,Business & Utility Services,795,3,7,89,yes,yes
devops_bootcamp,null,2592,284,6,7325,yes,yes
devlutful,Business & Utility Services,609,21,12,264,yes,yes
devjdelasen,Personal Goods & General Merchandise Stores,24310,463,7,249,yes,yes
developers.india,Creators & Celebrities,31247,205,9,299,yes,yes
developers_community_._,Business & Utility Services,41201,225,3,119,yes,yes
developerpaper,Non-Profits & Religious Organizations,170,29,4,64,yes,yes
developer_ops,null,30217,654,4,1466,no,yes
developer_bhaiyaji,Personal Goods & General Merchandise Stores,463,90,2,770,yes,yes
dev_diario,Business & Utility Services,1167,87,2,719,yes,yes
_devcommunity,Non-Profits & Religious Organizations,54654,4279,9,892,yes,yes
derivco,Business & Utility Services,2383,308,6,229,yes,yes
data_science_dojo,Business & Utility Services,2159,123,9,95,yes,yes
darkforcearmy,Non-Profits & Religious Organizations,2094,198,6,93,yes,yes
dark_codec,Professional Services,457,124,7,507,yes,yes
darkarmy__,null,50602,532,11,42,no,yes
droitthemes,Personal Goods & General Merchandise Stores,2223,1288,26,37,yes,yes
drie.co,Personal Goods & General Merchandise Stores,195,118,0,170,yes,yes
dreyand72,Personal Goods & General Merchandise Stores,2690,13,3,457,yes,yes
drahna.soft,Business & Utility Services,15107,39,4,521,yes,yes
dpthegrey,Publishers,1031,172,12,113,yes,yes
dpj_indonesia,Personal Goods & General Merchandise Stores,1515,765,17,312,yes,yes
dot_nek,Business & Utility Services,2096,907,0,7361,yes,yes
doracakeswap,Personal Goods & General Merchandise Stores,1495,16,0,4,yes,yes
divstech,null,3011,297,12,31,no,yes
divesh.js,Business & Utility Services,544,24,2,206,yes,yes
diversatechconcepts,Business & Utility Services,104,89,0,465,yes,yes
diveintotech,null,508,227,10,165,no,yes
dinocodes.kg,Professional Services,1304,193,5,26,yes,yes
digitalyashwant,null,1083,111,6,136,yes,yes
digitalstopage,null,1092,55,2,1546,no,yes
digitalogycorp,Personal Goods & General Merchandise Stores,1285,767,3,289,yes,yes
digitalentrecruitment,Home Services,10766,2188,6,5,yes,yes
digimat.ir,Publishers,438,,,14,yes,yes
digilinkpro,Personal Goods & General Merchandise Stores,528,78,6,545,yes,yes
edyoda,Professional Services,6540,363,4,175,yes,yes
ed.tech,Publishers,1018,187,2,8,yes,yes
